title,description,uuid,date_created
DMH - Pop-up_VR_Museum - Audio Recorded Stories,The dataset contains transcribed audio-recorded stories one paragraph long of design objects in the Pop-up VR Museum. Translations are available at least in Finnish, English, and Swedish.,55b31e3a-0131-4f3b-ac80-04de70bfafde,2022-11-15 12:49:21
Bot Datasets test,Just to test the privacy check app,98834834-8d9e-4c9a-8389-c7140f6f02bc,2022-11-19 20:22:05
DMH Pop-up VR Museum - DEGARI Classification,The dataset contains written stories of 1-4 sentences of design objects in the Pop-up VR Museum. Translations are available at least in Finnish, English, and Swedish. This dataset has been classified by DEGARI, SenticNet7 and Plutchik's library,86e6f3e5-6647-4107-b98b-bbde5cf9ebf5,2022-11-22 07:05:06
Hecht-UserModel,This contains three types of Documents Users, User Generated Content Metadata, UserModel Properties,d4e9870a-9137-44f5-b92e-c7a27bb2a15a,2022-11-27 10:43:00
DMH-UserModel,Data containing three types of documents list of users, user model properties, user generated content metadata,8e33fba2-d92d-4b3a-8555-ec2a3cc302a6,2022-11-27 10:49:16
DMH - Pop-up_VR_Museum - User Responses,User activities recorded while testing the Pop-up_VR_Museum,468d274c-a6ae-4b62-a01e-3fe76a0865fa,2022-11-28 13:56:40
DMH - Pop-up_VR_Museum - Values and Emotions for Written Stories,MFT and BE extracted values and emotions for the written stories carried out by Stefano De Giorgis,5f9f3f35-f36a-4e99-8180-f33988182bc7,2022-11-30 10:50:40
DMH - Pop-up_VR_Museum - Values and Emotions for Transcribed Audio-recorded Stories,MFT and BE extracted values and emotions for the audio-recorded stories carried out by Stefano De Giorgis,5b50a3c1-fcc4-4ad8-aa32-af4019b7b493,2022-12-01 21:20:25
DMH - Pop-up_VR_Museum - Semantic Annotation for Written Stories,Semantic annotation for the written stories,e62f825e-b9b0-4823-baf1-afb9cb211e0a,2022-12-02 14:44:24
DMH - Pop-up_VR_Museum - Semantic Annotation for Transcribed Audio-recorded Stories,Semantic annotation for the transcribed audio-recorded stories,03553943-65a9-43f1-ae00-fd83497fe331,2022-12-02 14:47:21
demo dataset,test,b8eff21b-5d1b-4e3b-9c3a-81b1d113a7ab,2022-12-05 12:50:08
GAM - UGC Contributions for UM,GAM - UGC Contributions for User Model,8ccd6e14-964d-40df-8f36-0bce3495bf3d,2022-12-20 10:08:15
GAM - UGC Users for UM,GAM - UGC Users for User Model,dbe48bcb-c07d-40e1-b73c-765424bdd926,2022-12-20 10:14:37
DMH Deep Viewpoints,DMH Deep Viewpoints dataset,2259ddbf-3368-4ef8-a716-7050747313d6,2023-01-03 20:01:32
GAMGame_CataloguePlus_single,GAM Museum catalogue (version 24/10/2022) enriched with information on iconclass concepts and curators' notes on materials, artistic techniques, authors and their artistic movements,83d3b3cf-88fa-4580-ac8f-e4516bbd247f,2023-01-20 13:31:54
Privacy Testing dataset,A dataset to test the privacy monitoring framework,13e7dfab-6dd7-45ea-9b36-6338cd1ba694,2023-02-14 11:15:13
Privacy and Hate Test Datasets,The datasets are meant for testing the privacy violations and hate speech modules.,5499fa64-4825-424e-9aca-793f70533cfe,2023-03-13 15:13:25
Hecht Round 2,New Data from Second Round of testing,54ae8ecb-0ede-4e51-84b9-03ddd271dbae,2023-05-01 12:50:53
